seed_names	TF_names	start	end	hex_color
IFNb	NF-kB	21077997	21078008	6CAFCC
IFNb	IRF-7D	21078009	21078015	00EAAD
IFNb	IRF-3C	21078016	21078021	009E73
IFNb	IRF-7B	21078022	21078028	00EAAD
IFNb	IRF-3A	21078029	21078034	009E73
IFNb	AP-1	21078035	21078043	999999
IL1b	NF-kB-1	112839860	112839870	6CAFCC
IL1b	NF-kB-2	112839890	112839899	6CAFCC
IL1b	AP-1-like	112839906	112839912	999999
CXCL10	NF-kB-1	76023609	76023619	6CAFCC
CXCL10	NF-kB-2	76023665	76023674	6CAFCC
CXCL10	ISRE	76023707	76023718	009E73
